source_id,teff_gspphot,logg_gspphot,lum_flame,radius_flame
323398153247232,5789.9497,4.3537,1.0823084,1.0340704
332709642351232,3390.9666,4.4342,,
333225038416768,5795.5723,4.1908,1.5808611,1.2467937
335149183745408,5650.2983,4.4911,0.7754287,0.9222878
339164977734656,3434.2766,4.7251,,
339268056948480,3972.8662,4.7831,0.19966239,0.9499336
340165705546496,4690.013,4.3023,0.5424382,1.1137134
341364001014784,3724.2817,4.8906,,
346213019516800,4978.636,4.4494,0.26334894,0.6872265
347170796699648,4640.8506,4.6152,0.2137105,0.7140949
355971185175040,5109.76,4.7843,0.112075016,0.45616636
358715668623872,4313.625,5.0726,,
363216794587776,4344.895,4.5496,,
363977004209408,4293.1543,4.5841,0.16927093,0.7422463
365037860490112,3364.6848,4.6224,,
368546849410944,5493.9155,4.3566,0.9222508,1.0702842
375105263944960,3930.1165,4.8257,,
375483221068544,3225.1572,4.891,,
376101696361472,5201.594,4.6282,0.4420217,0.81966984
379164008568448,4162.3037,4.5617,0.12636553,0.69377923
388200619820416,4669.768,4.6302,0.16602059,0.6219654
398195008334976,3676.043,4.832,,
400771988712704,4527.227,4.8322,,
401119881399296,6252.551,4.2122,2.4478154,1.3330085
403834300785280,4656.4536,4.6862,0.25829548,0.79062104
405036891553408,4192.451,4.3722,0.20707214,0.8183567
405105611030016,5019.4365,4.5183,0.40417334,0.8478049
410530154419072,3667.5325,4.7706,0.08187956,0.70760906
417642620415488,3527.3894,4.7225,0.03986714,0.5350277
418845211256064,3660.3596,4.7894,,
421873163343616,3429.6436,4.3821,0.052782163,0.6376108
422281184548096,4874.931,4.7842,0.12268423,0.4946252
427817398085248,5212.92,4.4232,0.5256631,0.88948226
428951269447936,6311.8765,4.252,3.1631856,1.4878501
434238373555712,3937.472,4.7328,,
435922000725760,3566.385,4.5263,,
442897027616768,3383.0232,4.5918,,
448020924203776,4285.4097,4.3829,0.34363282,1.0667766
448154067688320,5347.031,4.603,0.3303675,0.67782265
448708119004800,5126.7563,4.6654,0.42220542,0.82515806
448875622101632,4678.12,4.8587,,
449253579303936,5137.564,4.7914,,
457263693849600,4873.425,4.7361,0.50333846,0.99654645
463242288326912,3287.6135,5.0465,,
467365456464128,3130.8394,5.0307,,
468911645177600,3444.2646,4.7941,0.025923584,0.4545819
474477922791168,5828.164,4.2484,1.5715053,1.2295054
474958959126784,4932.31,4.6237,,
476913168763392,4549.0864,4.8593,,
477119327207808,3440.6418,4.7631,0.034344144,0.5204724
482548165915136,3969.354,4.741,0.048186477,0.47534123
484231793082624,3798.6826,4.5773,0.04471353,0.50770193
494578369695104,4785.805,4.3529,0.56243616,1.0946368
498495379868800,5392.1406,4.6211,0.3398116,0.6676703
498525444158720,3599.7317,4.3618,0.06764706,0.66833854
504955010669056,4696.872,4.606,0.28506753,0.80697143
507905652817280,4442.7725,4.6491,0.12800395,0.6037322
509932877408896,3821.8423,4.8903,,
510933605155712,4160.901,4.5076,0.116060935,0.6573246
511277202508288,3469.0398,3.9778,0.064797476,0.7001523
513132628406400,4771.335,4.4098,0.3468577,0.86103433
515258636799360,5846.9917,4.7189,0.4044969,0.6184953
517633754104576,5526.592,4.496,0.58784544,0.8360155
519965921004544,4489.767,4.8208,0.07157749,0.44268206
524329607813632,3409.8823,4.8968,,
524986738114816,5196.608,4.414,0.7608656,1.0747764
525566558393472,4227.161,4.8281,,
527181466128512,3458.8054,4.2773,,
527941675669120,5807.3755,4.7104,,
529174331122432,3326.1523,4.8793,,
535775695975040,4738.333,4.5468,0.25578287,0.7506061
538554539533056,3815.6287,4.8959,,
541097160168704,4622.7944,4.8351,,
