source_id,radial_velocity,radial_velocity_error,phot_bp_mean_mag
3332894779520,4.3900003,1.070167,13.049647
17390323414400,20.375849,5.7012854,16.025179
35291747103360,-27.245998,4.044606,14.566289
41064183148160,36.470387,6.337593,14.516194
43641163519872,-33.1273,7.5359864,14.364667
49413599559424,51.83358,5.8405714,15.078262
66627828480768,41.60745,1.3234304,11.150994
76111116227456,30.60993,12.828913,15.817087
106966161301376,-9.094271,2.5870435,14.586993
122737281195008,-9.470138,0.4404197,9.028098
143593642261120,-6.4806933,2.891069,14.776985
170256799204736,32.981327,0.15201645,10.233226
204376019419648,12.26302,2.709285,14.002259
210182815174400,-80.04391,8.657261,14.876317
218326073157120,-5.5867505,2.5607543,14.04372
260966508484480,-45.67984,7.3233385,15.034004
270720379197056,37.427376,0.9080964,12.083502
279452047694976,57.37154,1.1756078,12.351733
300411488269312,24.510132,3.7447333,14.336078
310234077964032,-27.842203,2.8935113,14.991988
372635658281728,29.50795,7.2847624,15.061943
386963669172224,16.873722,0.2551402,11.099812
391396075444608,-9.136596,5.8701673,14.8719015
393522083757184,39.651436,5.569723,15.016929
445302209250560,-2.3448648,1.2100846,11.894562
489699286857088,35.99352,13.46327,14.914544
490279106896640,33.882263,12.102889,13.162536
504817571715072,-4.343859,2.1226654,13.747794
525914451071232,34.329628,3.2945383,14.231585
544777947419136,57.769707,5.22492,14.983328
552611967772800,16.641562,8.481093,12.032977
554531817628672,39.44037,8.377795,14.964717
577969454773120,-7.1133018,9.481852,15.335638
601196637930112,7.508045,3.5771058,14.123922
601677674268288,-2.978855,11.999355,14.8428545
617448794148608,28.51266,6.4925942,10.333972
623736626265984,18.741865,0.8418697,12.76798
646104815949696,-20.619436,16.132345,15.047305
666651939458048,-3.2456512,5.476974,16.049025
686198335406080,-4.164152,2.9806476,13.486642
694032355749632,12.444218,3.1825647,13.985087
707093351595776,-42.14351,6.5811887,15.194242
717916669172864,-46.540028,2.4881623,13.2826395
719394137921024,58.981182,4.6919527,14.275955
720905966406144,40.563763,4.597973,13.979098
739666383750144,38.933887,0.9065525,11.240455
743647817999232,-48.08189,1.9320364,13.846039
758804757817728,-15.0083275,3.9439685,14.389457
772063321635200,5.975826,2.615834,13.449349
790136543511936,13.998083,12.590881,14.644854
801960589180288,28.071898,5.3632054,17.193466
827489874813824,54.135586,3.1153913,13.493632
833056152387328,28.257008,7.079658,15.120318
846593889254272,19.99017,5.8216577,15.228109
932901256951424,-113.6698,1.6209869,12.564355
938471829578112,25.87209,6.093017,14.735809
955303805866368,17.235832,1.7835002,13.474159
960427702436224,-13.296893,2.4838634,14.542771
1020484229542784,74.15625,2.7024994,13.2322645
1022481390016384,-1.3020124,1.2116557,13.43087
