source_id,ra,dec,parallax,phot_g_mean_mag,l,b
194864182347584512,80.06107261341704,41.08597009826674,13.348488243144686,5.405842,166.99006966026926,2.27740955459772
196457404758817152,86.44433775530247,44.631683698157254,10.201395034301791,14.207169,166.5268942124864,8.127050945238222
196655389866400384,89.66060290956075,44.86704143607342,21.769956707300285,12.221337,167.4534083589644,10.233146616722676
197781216757153408,89.80044126292982,46.51942798613667,14.809310567566468,13.132123,166.0172507089621,11.09805425844508
199090773760271232,73.30427345137838,38.508575684492364,11.650682841717492,13.981561,165.92479883116275,-3.417539023861694
199583866069986560,70.84424648618376,38.1940020897261,10.792051657635477,9.951913,164.9246056969697,-5.098534096604582
200235640246130816,72.34796235172901,40.31199755630186,17.342923854924145,14.712453,164.06049215634098,-2.8406014197010263
201378582585428608,76.65917703394558,42.09183569986803,16.187979938695396,14.539319,164.68285905651615,0.8059799897955544
201487468594945408,77.43991789519423,42.670930604682205,32.24316765004618,7.939117,164.56371160603177,1.614526423273378
101613707839128448,35.84396933632201,22.741566600501425,12.506866313040646,14.045285,149.15286068479463,-35.40580774804634
102220054141873792,37.84117453812642,24.530176540812647,10.264611136361623,13.111924,150.19675869695402,-32.99724629408749
103256786234312832,36.74145924366582,26.042912094430424,10.052625953728569,11.185414,148.35213780099312,-32.07060090999268
104333074972314112,33.65759283714621,24.596442461625553,20.496750792767433,14.585796,146.00195823284528,-34.52105581655894
104694672564751104,32.18684199049786,25.607345596375765,27.849459143983356,12.828121,144.05165825972503,-34.07402959265176
104716907609412352,29.481705461334002,23.596004083756643,24.774763239413197,4.7035136,142.0407367911833,-36.7962834888721
105390835222478976,31.04602669565626,25.59262825918419,13.269592426981411,12.090967,142.89002099332137,-34.44406553269644
109034376238472448,45.362188440088595,22.224900584902123,11.277419075150869,9.062978,158.61656988419762,-31.489963721991177
109871143242621568,44.450909318049796,22.760925148650067,16.455515316653536,9.6768875,157.44620267016,-31.510000708184677
110561808345954560,48.38073375190154,23.326953831316203,12.473120067906278,14.251077,160.5150085842673,-28.985801954203634
110663032133219840,47.410155411778135,23.252331203057768,11.485268963216294,14.921074,159.73675429623796,-29.568474213716858
113650233426957824,43.13899353744471,25.07911243998911,29.23584627622512,13.511263,154.82492780418718,-30.187830003529843
114057735628354432,40.3116264762014,24.723092881925524,12.54876343561221,9.425735,152.4441748619884,-31.780985322325424
114317980582634112,42.631846307803166,25.151186800640065,12.42682830168822,11.147911,154.32632154376213,-30.36287534409325
114762114560707456,42.37182095739469,26.707572036901805,10.237459404903941,12.712123,153.18515543810085,-29.139960430623685
116199141898431360,43.89871942312595,27.242166008137037,15.068349041971107,14.529089,154.20616605468166,-27.985245930262924
117280133627745280,51.885366874332526,25.899948201831215,13.736773813310924,9.052432,161.6165645841778,-25.01010746170787
117654650480415744,50.61835267536986,27.155766750603686,31.470327386692322,10.348357,159.78266096855583,-24.704795221552377
118466300515484544,49.91951310714474,27.349973337319575,17.540993552907842,13.822181,159.10544419605188,-24.918863034006268
118831235296781824,51.06719418943475,27.922431021149954,20.24570136001423,13.6137,159.62628955298445,-23.852829895616658
120209228307650688,53.99282143021752,29.607378355733687,14.559197751590569,13.474613,160.6951357237666,-20.9478640601788
121759131682242432,48.37327885078218,28.29551020522138,12.293892800383036,12.98523,157.27227799166738,-24.94353171575413
122138596336978816,47.918773900450006,29.637525270569164,12.187636721529234,11.5758505,156.07839262614286,-24.060945019925256
122341666686478080,50.14400064397471,29.8104804407658,11.050179263665404,13.976354,157.69741403754747,-22.81286045075701
122690246232123008,49.319934767459756,30.809847483060324,13.703383149969882,14.4615345,156.4425326071299,-22.409262622458073
123637063182863872,47.393242401838485,31.63766573122094,15.645730635033072,14.311213,154.4627463195414,-22.644958969410425
123792747157792256,47.56660279488447,32.10264489622136,13.635389175464107,14.220621,154.32097558196037,-22.1751684405217
123793640510984192,47.58287128761147,32.13017357787633,19.55340702083322,14.623134,154.31716047133077,-22.14458735663846
125820586283986816,49.918194997352934,33.59618215795632,21.51004324903806,9.430309,155.1822197729118,-19.832828091008764
129321160344480512,42.76851702843196,30.286593541325185,22.523253434541108,7.4144397,151.51874013962583,-25.86167615417977
129543807151761152,41.18402535851528,29.506261037773974,11.303462084815296,13.497854,150.59733843318443,-27.209355762810986
130774268036266240,37.40012038321212,28.435839439293936,13.524374315878989,13.330725,147.7841380518756,-29.655790534488926
130774542914204032,37.37569961891,28.45237453550786,11.061321536008316,13.656025,147.75368442444952,-29.649953445048197
130938267067432704,36.418263265714394,28.765697937037725,29.614066937020787,8.760493,146.7239552030243,-29.71595823043976
130961288092017792,35.46216125641696,28.452311282492992,10.544689355499782,14.091488,145.98252276109181,-30.34101812806666
132536372858880000,36.80500620179835,31.560235760798466,14.513023646304234,14.459675,145.77673962846194,-27.027682096164295
132693740460118400,35.93300971469058,31.682549546582663,10.003422748129786,14.374894,144.9569103380449,-27.21169450771887
133174364481209216,38.9778776700855,31.139560427651265,11.86050041047531,7.8809624,147.8608790269973,-26.62597698706874
134174129788780032,39.275988604104526,32.89095748270163,19.951664473061573,14.772331,147.26244110618615,-24.940468633932813
134854315172071424,38.6189717308654,33.954533040595834,10.214251651049997,11.732441,146.2147820195913,-24.216452081905466
135035872027513728,39.73920423952633,35.20091621743928,14.328210653322445,14.608561,146.53806951107902,-22.694556913570427
135094421021543168,39.32027038039998,35.369176957120914,13.180766996074166,11.391701,146.12498434856494,-22.69095972026484
136929329832729984,45.044280026546325,33.928817462921785,12.054812298916874,10.413229,151.34425943247635,-21.744221451110377
137656592351398272,47.18257610696996,33.939171705288075,12.728061597096831,14.706799,152.96034146330513,-20.806314886678283
138092033315946496,49.92688102425466,35.49212350910615,14.192281756256893,8.4686,154.05012317048767,-18.26769457812805
138543623357597056,46.547378236439506,34.947415667230054,17.722064341311462,13.750683,151.9143984170648,-20.23066888479246
138543623357647232,46.5540433118191,34.949717266915144,17.77717013303293,10.075126,151.91805905978075,-20.225837221898846
141559957414100096,42.99102915667445,37.475702658777905,11.812960176188705,13.123727,147.9285205391065,-19.477307272167142
142996576730416640,43.6686028089529,37.437795518881984,13.21440796665784,13.724625,148.44839858180487,-19.25329713519848
144689755917123328,69.20310773536139,21.03207804477992,12.541382991733252,14.101159,177.37770880843212,-17.261473892953536
